CLOSE,FNG,WINDOW_SIZE,EPOX,UNITS,BATCH
0.0019,0.0795,1,50,10,10
0.0021,0.1004,1,100,10,7
0.0030,0.0808,1,50,10,5
0.0032,0.0890,1,100,10,5
0.0033,0.0930,1,100,10,10
0.0045,0.0768,3,10,10,5
0.0055,0.0815,3,50,10,5
0.0061,0.0733,10,50,30,5
0.0062,0.0782,1,50,30,5
0.0062,0.0784,3,50,30,5
0.0104,0.0780,7,50,10,5
0.0106,0.0754,7,50,30,5
0.0124,0.0707,7,10,10,5
0.0127,0.0795,1,10,10,5
0.0137,0.1010,1,10,10,1
0.0138,0.0895,1,50,10,1
0.0140,0.0957,10,50,10,1
0.0142,0.1022,7,50,30,1
0.0149,0.0941,7,50,10,1
0.0161,0.0929,3,50,30,1
0.0163,0.0741,10,50,10,5
0.0169,0.0928,3,50,10,1
0.0170,0.0947,1,50,30,1
0.0174,0.0701,10,10,10,5
0.0179,0.1025,10,50,30,1
0.0267,0.1117,1,10,30,1
0.0336,0.1069,3,10,10,1
0.0392,0.1138,3,10,30,1
0.0441,0.1090,7,10,10,1
0.0502,0.1183,10,10,10,1
0.0584,0.1230,7,10,30,1
0.0616,0.1219,10,10,30,1
